@relation trainDT

@attribute Date_Time numeric
@attribute Speed numeric
@attribute leftMeas numeric
@attribute rightMeas numeric
@attribute nomWeight numeric
@attribute Axle numeric
@attribute minMeas numeric
@attribute maxMeas numeric
@attribute maxMeasSide {Righ,Left}
@attribute diffMeas numeric
@attribute avgMeas numeric
@attribute idWithinseq numeric
@attribute cntMaxMeasSide numeric
@attribute seqId numeric
@attribute maxMeas_b0_16 numeric
@attribute maxMeas_b1_16 numeric
@attribute maxMeas_b0t_16 numeric
@attribute maxMeas_b1t_16 numeric
@attribute maxMeas_a1_16 numeric
@attribute maxMeas_a3_16 numeric
@attribute maxMeas_a5_16 numeric
@attribute maxMeas_b0_24 numeric
@attribute maxMeas_b1_24 numeric
@attribute maxMeas_b0t_24 numeric
@attribute maxMeas_b1t_24 numeric
@attribute maxMeas_a1_24 numeric
@attribute maxMeas_a3_24 numeric
@attribute maxMeas_a5_24 numeric
@attribute Unit_id {ACFX79705,CBTX742482,CP214538,CP216117,GATX209511,IBT19821,NATX302222,NDYX863352,PPRX660134,PPRX660840,PPRX660900,PPRX661165,PPRX661168,PPRX661231,PPRX661526,PPRX661611,PROX76703,SCYX131926,SHPX208088,SHPX211983,SHPX212050}
@attribute site {REDW,GUEL,LOVE,STED,POPL,TBAY,SUDB,BOLT,WHIT,GOGV,BELL,MILE}
@attribute Dir {E,S,N,W}
@attribute ttf numeric
@attribute cnt numeric
@attribute timetofail numeric
@attribute label numeric

@data
41674.20764,45.7,66.4,100.5,33.9,4,66.4,100.5,Righ,34.1,83.45,0,0,118,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ACFX79705,REDW,E,-7,7,4,1
41674.20764,45.7,66.4,100.5,33.9,4,66.4,100.5,Righ,34.1,83.45,1,1,118,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ACFX79705,REDW,E,-6,7,4,1
41676.61389,18.1,58.3,74.1,34.3,4,58.3,74.1,Righ,15.8,66.2,2,2,118,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ACFX79705,GUEL,E,-5,7,2,1
41676.61389,18.1,58.3,74.1,34.3,4,58.3,74.1,Righ,15.8,66.2,3,3,118,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ACFX79705,GUEL,E,-4,7,2,1
41677.55,46.3,69.2,109.3,35.3,4,69.2,109.3,Righ,40.1,89.25,4,4,118,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ACFX79705,LOVE,E,-3,7,1,1
41677.55,46.3,69.2,109.3,35.3,4,69.2,109.3,Righ,40.1,89.25,5,5,118,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ACFX79705,LOVE,E,-2,7,1,1
41678.00556,27.4,58.9,116.7,33,4,58.9,116.7,Righ,57.8,87.8,6,6,118,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ACFX79705,STED,S,-1,7,0,1
41678.00556,27.4,58.9,116.7,33,4,58.9,116.7,Righ,57.8,87.8,7,7,118,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ACFX79705,STED,S,0,7,0,1
41643.47986,48.6,55.6,41.3,35.4,1,41.3,55.6,Left,14.3,48.45,0,0,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,GUEL,E,-25,25,45,0
41643.47986,48.6,55.6,41.3,35.4,1,41.3,55.6,Left,14.3,48.45,1,1,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,GUEL,E,-24,25,45,0
41643.82778,49.5,51.5,42.3,35.6,1,42.3,51.5,Left,9.2,46.9,2,2,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,LOVE,E,-23,25,45,0
41643.82778,49.5,51.5,42.3,35.6,1,42.3,51.5,Left,9.2,46.9,3,3,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,LOVE,E,-22,25,45,0
41645.01458,33.5,50,41.2,35.6,1,41.2,50,Left,8.8,45.6,4,4,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,STED,S,-21,25,43,0
41645.01458,33.5,50,41.2,35.6,1,41.2,50,Left,8.8,45.6,5,5,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,STED,S,-20,25,43,0
41652.57986,38.1,21.3,12.8,9.7,1,12.8,21.3,Left,8.5,17.05,6,6,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,STED,N,-19,25,36,0
41652.57986,38.1,21.3,12.8,9.7,1,12.8,21.3,Left,8.5,17.05,7,7,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,STED,N,-18,25,36,0
41654.80139,44.7,24.8,12.5,10.3,1,12.5,24.8,Left,12.3,18.65,8,8,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,LOVE,W,-17,25,34,0
41654.80139,44.7,24.8,12.5,10.3,1,12.5,24.8,Left,12.3,18.65,9,9,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,LOVE,W,-16,25,34,0
41655.00347,50.1,29.5,17.4,10.7,1,17.4,29.5,Left,12.1,23.45,10,10,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,GUEL,W,-15,25,33,1
41655.00347,50.1,29.5,17.4,10.7,1,17.4,29.5,Left,12.1,23.45,11,11,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,GUEL,W,-14,25,33,1
41659.29583,48.5,22.7,14.6,10,1,14.6,22.7,Left,8.1,18.65,12,12,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,REDW,W,-13,25,29,1
41659.29583,48.5,22.7,14.6,10,1,14.6,22.7,Left,8.1,18.65,13,13,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,REDW,W,-12,25,29,1
41681.70764,47.6,60.5,58.7,35,1,58.7,60.5,Left,1.8,59.6,14,14,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,POPL,E,-11,25,7,1
41681.70764,47.6,60.5,58.7,35,1,58.7,60.5,Left,1.8,59.6,15,15,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,POPL,E,-10,25,7,1
41682.33403,38.6,63.8,44.3,35.2,1,44.3,63.8,Left,19.5,54.05,16,16,124,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CBTX742482,TBAY,E,-9,25,6,1
41682.33403,38.6,63.8,44.3,35.2,1,44.3,63.8,Left,19.5,54.05,17,17,124,-1.474265,6.43701,3.759281,6.032282,-0.472515,-0.014984,0.145976,?,?,?,?,?,?,?,CBTX742482,TBAY,E,-8,25,6,1
41687.02917,33,104,57.2,34.3,1,57.2,104,Left,46.8,80.6,18,18,124,-1.474265,6.43701,3.759281,6.032282,-0.472515,-0.014984,0.145976,?,?,?,?,?,?,?,CBTX742482,SUDB,E,-7,25,1,1
41687.02917,33,104,57.2,34.3,1,57.2,104,Left,46.8,80.6,19,19,124,-1.474265,6.43701,3.759281,6.032282,-0.472515,-0.014984,0.145976,?,?,?,?,?,?,?,CBTX742482,SUDB,E,-6,25,1,1
41687.55278,39.2,128.3,60.2,36.6,1,60.2,128.3,Left,68.1,94.25,20,20,124,-1.474265,6.43701,3.759281,6.032282,-0.472515,-0.014984,0.145976,?,?,?,?,?,?,?,CBTX742482,BOLT,S,-5,25,1,1
41687.55278,39.2,128.3,60.2,36.6,1,60.2,128.3,Left,68.1,94.25,21,21,124,-1.474265,6.43701,3.759281,6.032282,-0.472515,-0.014984,0.145976,?,?,?,?,?,?,?,CBTX742482,BOLT,S,-4,25,1,1
41688.16319,40,103.9,43.9,33.8,1,43.9,103.9,Left,60,73.9,22,22,124,9.258824,7.431373,8.354146,7.620697,-0.383514,0.234567,0.156832,?,?,?,?,?,?,?,CBTX742482,LOVE,E,-3,25,0,1
41688.16319,40,103.9,43.9,33.8,1,43.9,103.9,Left,60,73.9,23,23,124,9.258824,7.431373,8.354146,7.620697,-0.383514,0.234567,0.156832,?,?,?,?,?,?,?,CBTX742482,LOVE,E,-2,25,0,1
41688.60208,28.3,122.1,53.8,36.1,1,53.8,122.1,Left,68.3,87.95,24,24,124,9.258824,7.431373,8.354146,7.620697,-0.383514,0.234567,0.156832,?,?,?,?,?,?,?,CBTX742482,STED,S,-1,25,0,1
41688.60208,28.3,122.1,53.8,36.1,1,53.8,122.1,Left,68.3,87.95,25,25,124,9.258824,7.431373,8.354146,7.620697,-0.383514,0.234567,0.156832,?,?,?,?,?,?,?,CBTX742482,STED,S,0,25,0,1
42261.40903,24.4,12.4,11.9,9.2,2,11.9,12.4,Left,0.5,12.15,0,0,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,STED,N,-29,29,175,0
42263.80625,41,34.2,11,9,2,11,34.2,Left,23.2,22.6,1,1,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,LOVE,W,-28,29,173,0
42265.57083,38.2,32.6,12.4,9.8,2,12.4,32.6,Left,20.2,22.5,2,2,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,BOLT,N,-27,29,171,0
42268.06389,42.7,38.1,11.7,9.1,2,11.7,38.1,Left,26.4,24.9,3,3,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,SUDB,W,-26,29,168,0
42268.55,37.5,45.6,11.4,8.9,2,11.4,45.6,Left,34.2,28.5,4,4,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,WHIT,W,-25,29,168,0
42270.86319,25,76.1,39,33.2,2,39,76.1,Left,37.1,57.55,5,5,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,WHIT,E,-24,29,166,0
42271.47083,36.3,78.8,44.8,34.5,2,44.8,78.8,Left,34,61.8,6,6,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,SUDB,E,-23,29,165,0
42273.85625,36.9,68.1,38.3,32.6,2,38.3,68.1,Left,29.8,53.2,7,7,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,BOLT,S,-22,29,163,0
42274.02639,33.4,81.3,37.9,33.2,2,37.9,81.3,Left,43.4,59.6,8,8,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,GUEL,W,-21,29,162,0
42308.17569,43.6,47.6,15,9.1,2,15,47.6,Left,32.6,31.3,9,9,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,GUEL,E,-20,29,128,0
42308.34375,42.5,45.4,11.6,9.1,2,11.6,45.4,Left,33.8,28.5,10,10,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,BOLT,N,-19,29,128,0
42315.04097,47.7,43.4,12.6,8.8,2,12.6,43.4,Left,30.8,28,11,11,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,SUDB,W,-18,29,121,0
42315.60694,38.4,40.5,12.3,9.2,2,12.3,40.5,Left,28.2,26.4,12,12,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,WHIT,W,-17,29,121,0
42328.52222,27,81.9,49,34.2,2,49,81.9,Left,32.9,65.45,13,13,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,WHIT,E,-16,29,108,0
42330.66319,50.9,89.2,37.1,38.1,2,37.1,89.2,Left,52.1,63.15,14,14,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,BOLT,S,-15,29,106,1
42334.91389,26.4,81.9,38.9,35.1,2,38.9,81.9,Left,43,60.4,15,15,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,STED,S,-14,29,102,1
42347.37778,41.3,12.9,11.3,8.9,2,11.3,12.9,Left,1.6,12.1,16,16,126,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CP214538,STED,N,-13,29,89,1
42358.85625,36.8,84.1,38.3,32.3,2,38.3,84.1,Left,45.8,61.2,17,17,126,71.141176,-1.215686,69.615101,-1.117938,0.151839,0.143985,0.394521,?,?,?,?,?,?,?,CP214538,STED,S,-12,29,78,1
42391.25903,33.4,49.8,16.5,8.8,2,16.5,49.8,Left,33.3,33.15,18,18,126,71.141176,-1.215686,69.615101,-1.117938,0.151839,0.143985,0.394521,?,?,?,?,?,?,?,CP214538,STED,N,-11,29,45,1
42398.41736,31.8,12.2,13.3,8.7,2,12.2,13.3,Righ,1.1,12.75,19,0,126,71.141176,-1.215686,69.615101,-1.117938,0.151839,0.143985,0.394521,?,?,?,?,?,?,?,CP214538,LOVE,W,-10,29,38,1
42399.64306,43.1,56.3,15.6,8.3,2,15.6,56.3,Left,40.7,35.95,20,0,126,71.141176,-1.215686,69.615101,-1.117938,0.151839,0.143985,0.394521,?,?,?,?,?,?,?,CP214538,BOLT,N,-9,29,37,1
42407.77014,46.3,72.8,38.3,32.1,2,38.3,72.8,Left,34.5,55.55,21,1,126,71.141176,-1.215686,69.615101,-1.117938,0.151839,0.143985,0.394521,?,?,?,?,?,?,?,CP214538,BOLT,S,-8,29,29,1
42420.60417,21.9,26.9,14.1,9.5,2,14.1,26.9,Left,12.8,20.5,22,2,126,51.370588,0.490196,54.095249,0.165732,0.085397,0.029437,0.29635,?,?,?,?,?,?,?,CP214538,BOLT,N,-7,29,16,1
42422.16458,47.2,53.3,13.4,9.3,2,13.4,53.3,Left,39.9,33.35,23,3,126,51.370588,0.490196,54.095249,0.165732,0.085397,0.029437,0.29635,?,?,?,?,?,?,?,CP214538,SUDB,W,-6,29,14,1
42422.73194,40.6,49.4,18.6,9,2,18.6,49.4,Left,30.8,34,24,4,126,51.370588,0.490196,54.095249,0.165732,0.085397,0.029437,0.29635,?,?,?,?,?,?,?,CP214538,WHIT,W,-5,29,14,1
42426.56667,24.7,99.6,52.7,33.5,2,52.7,99.6,Left,46.9,76.15,25,5,126,51.370588,0.490196,54.095249,0.165732,0.085397,0.029437,0.29635,49.697,1.461769,50.975309,1.377704,-0.298898,-0.197243,0.199198,CP214538,WHIT,E,-4,29,10,1
